product_id,product_name,category,revenue,cumulative_pct,abc_class
ELE-P0031,Bluetooth Speaker Classic,Electronics,78243290.66,4.23,A
ELE-P0036,Air Conditioner Classic,Electronics,67561324.9,7.89,A
ELE-P0040,Power Bank Classic,Electronics,58550207.31,11.06,A
ELE-P0039,Smart Watch Classic,Electronics,58466075.53,14.22,A
ELE-P0030,Water Purifier Classic,Electronics,54227203.78,17.16,A
ELE-P0021,Air Conditioner Plus,Electronics,52671094.3,20.01,A
FUR-P0037,Wardrobe Mini,Furniture,51116979.28,22.78,A
ELE-P0023,Microwave Oven Plus,Electronics,47532871.52,25.35,A
ELE-P0022,Room Cooler Plus,Electronics,45720741.85,27.82,A
FUR-P0025,Dining Table Classic,Furniture,43973406.66,30.2,A
ELE-P0028,Electric Kettle Plus,Electronics,40237347.68,32.38,A
FUR-P0026,Bed Frame Classic,Furniture,37865493.67,34.43,A
ELE-P0027,Home Theatre Plus,Electronics,37272122.75,36.45,A
ELE-P0032,Wireless Earbuds Classic,Electronics,36797273.29,38.44,A
ELE-P0026,Digital Camera Plus,Electronics,34905177.3,40.33,A
FUR-P0038,Office Chair Mini,Furniture,34638848.97,42.2,A
FUR-P0021,Wooden Chair Classic,Furniture,34499027.88,44.07,A
ELE-P0025,Power Bank Plus,Electronics,34145538.18,45.92,A
FUR-P0036,Bed Frame Mini,Furniture,33289417.09,47.72,A
FUR-P0039,Coffee Table Mini,Furniture,29918361.0,49.34,A
ELE-P0038,Microwave Oven Classic,Electronics,28841261.64,50.9,A
FUR-P0024,Bookshelf Classic,Furniture,25119639.61,52.26,A
FUR-P0035,Dining Table Mini,Furniture,21875095.71,53.44,A
ELE-P0034,LED TV Classic,Electronics,21387782.56,54.6,A
FUR-P0022,Study Table Classic,Furniture,20231990.15,55.7,A
ELE-P0029,Ceiling Fan Plus,Electronics,18118336.71,56.68,A
FUR-P0023,Sofa Set Classic,Furniture,17305745.39,57.61,A
ELE-P0024,Smart Watch Plus,Electronics,16267161.18,58.49,A
FUR-P0027,Wardrobe Classic,Furniture,16222112.6,59.37,A
FUR-P0033,Sofa Set Mini,Furniture,15327191.7,60.2,A
FUR-P0028,Office Chair Classic,Furniture,11060843.49,60.8,A
ELE-P0035,Laptop Classic,Electronics,11010861.19,61.39,A
SPO-P0034,Dumbbell Set Mini,Sports,10816192.85,61.98,A
SPO-P0032,Cricket Bat Mini,Sports,10404012.49,62.54,A
KIT-P0024,Mixer Grinder Classic,Kitchen,10162273.45,63.09,A
FUR-P0030,TV Unit Mini,Furniture,9953706.19,63.63,A
KIT-P0034,Mixer Grinder Mini,Kitchen,9697097.42,64.16,A
SPO-P0030,Fitness Band Mini,Sports,9612930.26,64.68,A
KIT-P0006,Storage Container Set,Kitchen,9376117.4,65.18,A
SPO-P0016,Running Shoes Plus,Sports,9371228.16,65.69,A
SPO-P0028,Cycling Helmet Classic,Sports,9037212.99,66.18,A
SPO-P0014,Dumbbell Set Plus,Sports,8978440.28,66.67,A
FUR-P0031,Wooden Chair Mini,Furniture,8805162.91,67.14,A
HOM-P0026,Curtain Set Classic,Home Decor,8644610.15,67.61,A
KIT-P0002,Pressure Cooker,Kitchen,8524035.47,68.07,A
SPO-P0024,Dumbbell Set Classic,Sports,8520606.97,68.53,A
FUR-P0040,TV Unit Deluxe,Furniture,8368667.51,68.99,A
SPO-P0013,Football Plus,Sports,8287918.15,69.43,A
SPO-P0012,Cricket Bat Plus,Sports,8064330.66,69.87,A
HOM-P0003,Photo Frame Set,Home Decor,7933250.52,70.3,A
SPO-P0002,Cricket Bat,Sports,7770854.22,70.72,A
KIT-P0015,Dinner Set Plus,Kitchen,7606511.66,71.13,A
ELE-P0033,Smartphone Classic,Electronics,7571647.59,71.54,A
HOM-P0017,Scented Candle Pack Plus,Home Decor,6983819.24,71.92,A
HOM-P0033,Photo Frame Set Mini,Home Decor,6753121.89,72.29,A
SPO-P0017,Skipping Rope Plus,Sports,6558622.68,72.64,A
SPO-P0008,Cycling Helmet,Sports,6497898.18,72.99,A
FUR-P0034,Bookshelf Mini,Furniture,6463902.44,73.34,A
KIT-P0029,Chopping Board Classic,Kitchen,6456247.29,73.69,A
SPO-P0029,Gym Gloves Classic,Sports,6350309.19,74.04,A
SPO-P0021,Yoga Mat Classic,Sports,5814346.76,74.35,A
KIT-P0010,Tiffin Box,Kitchen,5679746.03,74.66,A
HOM-P0019,Mirror Frame Plus,Home Decor,5573357.39,74.96,A
SPO-P0006,Running Shoes,Sports,5547151.11,75.26,A
KIT-P0023,Knife Set Classic,Kitchen,5487815.33,75.56,A
KIT-P0014,Mixer Grinder Plus,Kitchen,5487695.34,75.85,A
SPO-P0004,Dumbbell Set,Sports,5367586.82,76.14,A
HOM-P0024,Wall Art Canvas Classic,Home Decor,5203621.06,76.43,A
KIT-P0011,Non-Stick Pan Plus,Kitchen,5019517.75,76.7,A
HOM-P0030,Fairy Lights Mini,Home Decor,4993384.09,76.97,A
HOM-P0025,Decorative Vase Classic,Home Decor,4829143.27,77.23,A
FUR-P0029,Coffee Table Classic,Furniture,4794869.3,77.49,A
