category,total_revenue,total_profit,total_units_sold,stockout_rate_pct,avg_inventory
Electronics,762714537.98,294804564.88,66058.5,0.96,122.03
Furniture,444246757.87,178294288.12,58670.5,0.69,126.07
Sports,179319749.74,66285497.06,51905.0,1.1,123.03
Kitchen,128053771.67,50055580.09,52369.0,0.72,144.22
Home Decor,105288847.67,38201056.6,55562.0,0.63,153.27
Pet Supplies,61570487.69,23572022.9,49495.5,0.66,129.59
Clothing,39809253.84,14036055.52,72985.0,0.53,136.37
Beauty,37494430.24,14821796.4,54221.0,0.56,139.45
Toys,35911235.4,12092859.48,64222.0,0.65,128.38
Stationery,27650344.72,10002454.77,60996.0,0.93,134.92
Groceries,25660401.12,9245959.24,72446.5,0.93,124.85
