product_id,product_name,category,total_units_sold,avg_inventory,turnover_ratio
BEA-P0001,Face Wash,Beauty,1291.0,190.63076923076923,6.77
BEA-P0002,Sunscreen Lotion,Beauty,1927.0,175.97163120567376,10.95
BEA-P0003,Lipstick,Beauty,1857.0,197.78518518518518,9.39
BEA-P0004,Hair Oil,Beauty,1607.0,185.635593220339,8.66
BEA-P0005,Shampoo 500ml,Beauty,1348.0,194.02884615384616,6.95
BEA-P0006,Moisturizer Cream,Beauty,1621.5,52.806306306306304,30.71
BEA-P0007,Perfume,Beauty,2259.0,166.0595238095238,13.6
BEA-P0008,Face Serum,Beauty,1563.0,142.6875,10.95
BEA-P0009,Talcum Powder,Beauty,1308.0,74.71818181818182,17.51
BEA-P0010,Hair Dryer,Beauty,1185.0,129.5,9.15
BEA-P0011,Face Wash Plus,Beauty,938.0,144.89411764705883,6.47
BEA-P0012,Sunscreen Lotion Plus,Beauty,1373.0,89.8984375,15.27
BEA-P0013,Lipstick Plus,Beauty,1448.0,60.816,23.81
BEA-P0014,Hair Oil Plus,Beauty,2246.0,106.46341463414635,21.1
BEA-P0015,Shampoo 500ml Plus,Beauty,1103.0,122.64893617021276,8.99
BEA-P0016,Moisturizer Cream Plus,Beauty,1438.0,138.8181818181818,10.36
BEA-P0017,Perfume Plus,Beauty,1283.0,94.95959595959596,13.51
BEA-P0018,Face Serum Plus,Beauty,1264.0,158.98076923076923,7.95
BEA-P0019,Talcum Powder Plus,Beauty,2284.0,129.8,17.6
BEA-P0020,Hair Dryer Classic,Beauty,1663.0,162.23622047244095,10.25
BEA-P0021,Face Wash Classic,Beauty,2153.0,104.24626865671642,20.65
BEA-P0022,Sunscreen Lotion Classic,Beauty,1467.0,136.72413793103448,10.73
BEA-P0023,Lipstick Classic,Beauty,1301.0,140.15841584158414,9.28
BEA-P0024,Hair Oil Classic,Beauty,516.0,170.96226415094338,3.02
BEA-P0025,Shampoo 500ml Classic,Beauty,1021.0,124.58024691358025,8.2
BEA-P0026,Moisturizer Cream Classic,Beauty,1972.0,166.7810218978102,11.82
BEA-P0027,Perfume Classic,Beauty,2126.0,198.2655172413793,10.72
BEA-P0028,Face Serum Classic,Beauty,1414.0,89.31132075471699,15.83
BEA-P0029,Talcum Powder Classic,Beauty,2237.0,78.69736842105263,28.43
BEA-P0030,Hair Dryer Mini,Beauty,2299.0,161.14,14.27
BEA-P0031,Face Wash Mini,Beauty,1439.0,74.52941176470588,19.31
BEA-P0032,Sunscreen Lotion Mini,Beauty,1302.0,201.13106796116506,6.47
BEA-P0033,Lipstick Mini,Beauty,2003.0,183.21487603305786,10.93
BEA-P0034,Hair Oil Mini,Beauty,629.5,147.24528301886792,4.28
BEA-P0035,Shampoo 500ml Mini,Beauty,1335.0,170.84745762711864,7.81
CLO-P0001,Cotton T-Shirt,Clothing,1875.0,140.83834586466165,13.31
CLO-P0002,Denim Jeans,Clothing,1843.0,152.06837606837607,12.12
CLO-P0003,Formal Shirt,Clothing,1497.0,158.89754098360655,9.42
CLO-P0004,Summer Dress,Clothing,1867.0,115.11764705882354,16.22
