year_month,total_revenue,total_units_sold,total_profit,stockout_rate_pct,avg_fill_rate_pct
2021-01,47736574.34,17409.0,18987952.725,0.14,23.74
2021-02,39258861.75,13796.5,15920763.6,0.17,38.37
2021-03,39408871.66,12817.0,16092494.58,0.39,67.34
2021-04,40798370.45,12898.0,16737129.915000001,0.39,55.33
2021-05,39092197.74,13487.5,15345484.755,0.85,70.22
2021-06,33732917.5,11520.0,12881036.64,0.31,56.71
2021-07,32740037.47,11601.5,12763452.06,0.2,87.76
2021-08,29243896.25,11557.0,10832028.43,0.59,105.79
2021-09,32373369.41,11285.5,12299775.73,0.41,114.05
2021-10,54008738.85,17437.0,19374563.0,1.73,54.55
2021-11,44305546.45,16049.0,15424582.3,1.3,105.65
2021-12,52049566.24,17653.0,18620286.3,1.27,95.61
2022-01,42035235.410000004,12473.0,16619909.33,0.2,166.03
2022-02,30701123.75,11352.0,11894888.99,0.11,123.5
2022-03,39428470.089999996,13768.0,15160791.18,0.2,102.24
2022-04,44507733.53,13703.5,17990222.88,0.49,115.06
2022-05,42282980.21,12481.5,16205097.235,0.79,91.13
2022-06,29014648.72,11944.0,10404768.67,0.5,98.13
2022-07,36933495.14,11672.0,18822450.150000002,0.1,136.01
2022-08,24666006.43,11080.5,9366751.205,0.0,116.02
2022-09,29609047.3,11353.0,11250264.69,0.1,123.5
2022-10,49708280.57,18748.0,18485351.46,1.81,69.92
2022-11,49451855.81,16922.5,19278338.275000002,2.66,82.79
2022-12,44092946.24,16549.5,16011597.345,1.19,99.6
2023-01,38170853.95,12737.0,15502252.64,0.76,149.11
2023-02,34244764.07,11193.0,13974962.02,0.32,128.09
2023-03,36114693.75,13607.0,14406499.835,0.89,94.18
2023-04,37585776.96,13959.0,14110851.88,0.66,90.77
2023-05,32365351.18,12714.5,12659939.39,0.7,98.65
2023-06,24507836.04,12396.5,9358273.87,0.81,100.55
2023-07,33240157.94,11134.5,13242723.92,0.41,116.85
2023-08,28898084.22,11784.0,11167720.755,0.1,85.75
2023-09,35039438.57,12610.0,14045812.57,0.59,102.12
2023-10,45024644.0,18136.5,16390825.790000001,1.89,65.43
2023-11,56726220.8,17117.0,22049657.19,1.77,101.81
2023-12,44630034.7,17453.0,15497814.25,1.62,110.52
2024-01,34161931.47,13361.0,13067088.72,0.38,124.71
2024-02,28067259.0,11920.0,10891027.76,0.83,128.46
2024-03,42637316.52,13480.0,17346312.97,0.68,111.02
2024-04,41695283.39,12952.0,15958413.590000002,0.7,92.12
2024-05,40701239.04,12675.0,15925314.745000001,0.7,111.07
2024-06,28213321.84,11614.0,11099576.39,0.5,108.42
2024-07,33714799.83,12524.0,12664681.17,0.67,93.62
2024-08,31950865.04,11891.0,12781435.64,0.1,93.63
2024-09,29667649.83,11134.5,11645368.755,0.59,92.39
2024-10,52069633.69,19422.5,18121244.12,2.14,55.31
2024-11,47457550.98,17992.5,16856150.69,1.47,90.29
2024-12,43654339.82,15564.0,15878204.96,1.63,114.72
