product_id,avg_units_no_stockout,avg_units_stockout,average_unit_price,estimated_units_lost,estimated_revenue_lost_per_day,stockout_days,estimated_total_revenue_lost
FUR-P0036,13.239669421487603,5.75,20537.696,7.489669421487603,153820.55371900825,4,615282.214876033
ELE-P0023,16.624,13.0,22994.863828125,3.6239999999999988,83333.38651312496,3,250000.15953937487
HOM-P0023,12.158536585365853,6.0,1738.163023255814,6.158536585365853,10704.54057005105,8,85636.3245604084
SPO-P0025,9.689655172413794,4.333333333333333,5115.951,5.356321839080461,27402.68006896552,3,82208.04020689656
SPO-P0028,15.65648854961832,10.5,4429.533609022556,5.15648854961832,22840.839335074324,2,45681.67867014865
KIT-P0024,14.923076923076923,0.0,3010.075190839695,14.923076923076923,44919.58361714622,1,44919.58361714622
FUR-P0028,11.85981308411215,7.0,8637.388333333332,4.859813084112149,41976.09283489096,1,41976.09283489096
HOM-P0017,12.964285714285714,0.0,2811.9031472081215,12.964285714285714,36454.31580130529,1,36454.31580130529
FUR-P0032,11.409090909090908,0.0,2950.8972932330826,11.409090909090908,33667.05548188653,1,33667.05548188653
BEA-P0021,16.310606060606062,0.0,1017.2670895522386,16.310606060606062,16592.242756105832,2,33184.485512211664
HOM-P0018,14.10948905109489,0.0,2113.7514492753626,14.10948905109489,29823.952930286683,1,29823.952930286683
BEA-P0028,13.596153846153847,0.0,1090.3850943396226,13.596153846153847,14825.043494194484,2,29650.086988388968
CLO-P0008,12.410071942446043,2.0,692.1433566433567,10.410071942446043,7205.2621371434325,4,28821.04854857373
TOY-P0025,10.20388349514563,3.2,821.9132407407408,7.00388349514563,5756.584581265732,5,28782.92290632866
STA-P0017,16.46153846153846,6.0,751.7827160493828,10.46153846153846,7864.803798670465,3,23594.411396011394
SPO-P0020,14.463636363636363,4.0,1016.4442857142857,10.463636363636363,10635.70338961039,2,21271.40677922078
PET-P0010,13.891472868217054,5.0,999.6927480916031,8.891472868217054,8888.740946209835,2,17777.48189241967
SPO-P0023,14.689655172413794,13.25,2878.63032967033,1.4396551724137936,4144.235043577114,4,16576.940174308456
PET-P0026,13.817460317460318,3.2,281.28312977099233,10.617460317460317,2986.512468314552,5,14932.562341572759
BEA-P0025,12.725,3.0,1362.5129629629628,9.725,13250.438564814813,1,13250.438564814813
KIT-P0034,11.96045197740113,9.0,4428.047640449438,2.9604519774011298,13109.022393194948,1,13109.022393194948
TOY-P0029,11.418181818181818,7.666666666666667,1158.21,3.751515151515151,4345.042363636363,3,13035.127090909089
TOY-P0021,13.137931034482758,0.0,981.6895999999999,13.137931034482758,12897.370262068964,1,12897.370262068964
BEA-P0029,14.814569536423841,0.0,794.4155263157894,14.814569536423841,11768.924055420006,1,11768.924055420006
HOM-P0001,11.24,7.0,2481.388910891089,4.24,10521.088982178218,1,10521.088982178218
BEA-P0012,10.904,3.3333333333333335,437.45234375,7.570666666666666,3311.805877083333,3,9935.417631249999
GRO-P0023,16.83240223463687,10.2,268.2015760869565,6.632402234636871,1778.820732572261,5,8894.103662861306
STA-P0011,13.351145038167939,11.0,594.9456934306569,2.351145038167939,1398.8036150888727,6,8392.821690533236
STA-P0033,12.925373134328359,0.3333333333333333,213.2485401459854,12.592039800995025,2685.2341050223336,3,8055.702315067001
BEA-P0009,12.0,0.0,552.2463636363636,12.0,6626.956363636364,1,6626.956363636364
HOM-P0010,13.040816326530612,10.0,2146.381414141414,3.040816326530612,6526.751647083075,1,6526.751647083075
STA-P0003,13.661417322834646,0.0,425.18296875,13.661417322834646,5808.601974655512,1,5808.601974655512
FUR-P0013,12.824817518248175,1.0,480.63101449275365,11.824817518248175,5683.374039987306,1,5683.374039987306
BEA-P0030,15.395973154362416,5.0,514.6052666666666,10.395973154362416,5349.822537360178,1,5349.822537360178
GRO-P0025,14.166666666666666,0.0,373.0192052980132,14.166666666666666,5284.438741721854,1,5284.438741721854
GRO-P0032,14.028301886792454,3.3333333333333335,80.0025892857143,10.69496855345912,855.6251766060199,6,5133.751059636119
TOY-P0002,10.548076923076923,0.0,462.93923809523807,10.548076923076923,4883.118694139194,1,4883.118694139194
CLO-P0013,13.426356589147288,5.5,297.5432824427481,7.926356589147288,2358.4341573465886,2,4716.868314693177
TOY-P0018,14.347305389221557,5.0,493.71702380952377,9.347305389221557,4614.923797405189,1,4614.923797405189
PET-P0033,12.669565217391304,7.0,730.6244827586207,5.669565217391304,4142.323154422788,1,4142.323154422788
TOY-P0030,14.351648351648352,3.0,352.48322404371584,11.351648351648352,4001.2656091995436,1,4001.2656091995436
PET-P0034,12.636363636363637,10.0,1509.7602247191012,2.6363636363636367,3980.276956077631,1,3980.276956077631
STA-P0012,13.345679012345679,0.0,284.0681707317073,13.345679012345679,3791.0826242095754,1,3791.0826242095754
FUR-P0001,11.741935483870968,2.0,365.08672,9.741935483870968,3556.6512722580646,1,3556.6512722580646
GRO-P0026,12.971830985915492,8.0,303.5880821917808,4.971830985915492,1509.388633995755,2,3018.77726799151
STA-P0008,13.048275862068966,8.0,440.70856164383565,5.048275862068966,2224.8183939537084,1,2224.8183939537084
STA-P0010,12.038167938931299,0.0,158.20787878787877,12.038167938931299,1904.5330141105712,1,1904.5330141105712
GRO-P0017,15.057142857142857,0.0,117.11075471698113,15.057142857142857,1763.3533638814017,1,1763.3533638814017
CLO-P0016,15.478021978021978,11.0,264.94852459016397,4.478021978021978,1186.4453161592508,1,1186.4453161592508
FUR-P0015,10.845070422535212,0.0,99.74347222222222,10.845070422535212,1081.7249804381847,1,1081.7249804381847
KIT-P0008,14.46808510638298,14.0,1094.4835416666667,0.4680851063829792,512.3114450354615,2,1024.622890070923
ELE-P0015,13.72258064516129,13.333333333333334,662.7546835443038,0.38924731182795647,257.9754789710082,3,773.9264369130246
STA-P0025,11.6875,9.0,228.74723076923075,2.6875,614.7581826923076,1,614.7581826923076
ELE-P0024,10.516483516483516,10.5,13845.199462365592,0.016483516483516425,228.21757355547598,2,456.43514711095196
CLO-P0010,17.16216216216216,16.333333333333332,172.2827192982456,0.8288288288288292,142.79288446341084,3,428.37865339023256
FUR-P0010,14.151079136690647,13.0,258.92857142857144,1.1510791366906474,298.0472764645427,1,298.0472764645427
BEA-P0002,13.642857142857142,17.0,307.74411347517736,0.0,0.0,1,0.0
CLO-P0007,14.257861635220126,70.0,467.503875,0.0,0.0,1,0.0
BEA-P0006,13.845794392523365,35.0,145.47693693693694,0.0,0.0,4,0.0
BEA-P0022,12.4070796460177,21.666666666666668,1075.2425862068965,0.0,0.0,3,0.0
BEA-P0014,13.652173913043478,16.0,764.0580487804879,0.0,0.0,3,0.0
CLO-P0021,14.341772151898734,24.0,1004.6428301886792,0.0,0.0,1,0.0
CLO-P0037,13.410714285714286,26.0,518.2466956521739,0.0,0.0,3,0.0
CLO-P0018,13.78448275862069,28.0,541.0533050847457,0.0,0.0,2,0.0
CLO-P0003,12.206611570247935,20.0,435.2112295081967,0.0,0.0,1,0.0
BEA-P0031,13.831683168316832,42.0,99.20686274509804,0.0,0.0,1,0.0
CLO-P0015,12.656934306569344,20.0,279.54355072463767,0.0,0.0,1,0.0
ELE-P0018,14.481751824817518,59.0,248.75731884057973,0.0,0.0,1,0.0
ELE-P0019,12.075342465753424,36.5,590.0654054054055,0.0,0.0,2,0.0
ELE-P0011,15.365269461077844,28.666666666666668,445.9322941176471,0.0,0.0,3,0.0
ELE-P0017,14.580645161290322,19.333333333333332,558.9309448818898,0.0,0.0,3,0.0
ELE-P0008,14.587837837837839,116.0,454.27382550335574,0.0,0.0,1,0.0
CLO-P0038,16.14388489208633,36.0,1023.9632867132867,0.0,0.0,4,0.0
CLO-P0039,12.639344262295081,59.0,613.5622764227642,0.0,0.0,1,0.0
ELE-P0006,12.69718309859155,57.0,250.99244755244754,0.0,0.0,1,0.0
CLO-P0030,15.013986013986013,110.0,362.4346527777778,0.0,0.0,1,0.0
CLO-P0022,17.76923076923077,30.0,622.2171428571428,0.0,0.0,2,0.0
FUR-P0022,10.128440366972477,16.5,17308.14081081081,0.0,0.0,2,0.0
GRO-P0005,13.989583333333334,27.0,459.7856701030928,0.0,0.0,1,0.0
GRO-P0001,18.023391812865498,30.0,565.853546511628,0.0,0.0,1,0.0
GRO-P0002,13.916666666666666,17.0,527.5688721804512,0.0,0.0,1,0.0
FUR-P0037,15.044247787610619,35.0,28015.16068376068,0.0,0.0,4,0.0
FUR-P0035,14.444444444444445,20.5,10724.764028776977,0.0,0.0,4,0.0
GRO-P0009,13.360169491525424,48.0,175.06966942148762,0.0,0.0,3,0.0
GRO-P0007,15.00900900900901,36.333333333333336,274.82219298245616,0.0,0.0,3,0.0
GRO-P0006,15.0,43.5,458.49797872340423,0.0,0.0,2,0.0
FUR-P0019,12.152,16.4,99.40976923076923,0.0,0.0,5,0.0
FUR-P0025,11.795620437956204,67.0,26400.636739130434,0.0,0.0,1,0.0
FUR-P0018,15.491803278688524,76.0,249.06439024390247,0.0,0.0,1,0.0
ELE-P0040,14.214912280701755,34.0,35359.52373913043,0.0,0.0,1,0.0
FUR-P0006,12.50354609929078,25.5,593.9430069930071,0.0,0.0,2,0.0
ELE-P0039,13.468468468468469,28.5,34815.17230769231,0.0,0.0,6,0.0
ELE-P0038,12.58,12.75,21834.710576923077,0.0,0.0,4,0.0
ELE-P0036,13.075187969924812,58.5,36475.613999999994,0.0,0.0,2,0.0
ELE-P0031,13.942148760330578,19.25,44984.401951219515,0.0,0.0,2,0.0
ELE-P0026,13.36,14.25,24760.928365384614,0.0,0.0,4,0.0
ELE-P0027,12.263392857142858,20.0,26471.36743362832,0.0,0.0,1,0.0
ELE-P0028,12.533333333333333,34.166666666666664,21352.233333333334,0.0,0.0,6,0.0
ELE-P0030,11.976923076923077,71.0,33071.80564885496,0.0,0.0,1,0.0
KIT-P0023,13.839080459770114,46.0,4300.190337078651,0.0,0.0,2,0.0
KIT-P0022,12.155555555555555,38.333333333333336,2941.9293548387095,0.0,0.0,3,0.0
KIT-P0017,13.59016393442623,37.0,498.59617886178864,0.0,0.0,1,0.0
KIT-P0016,17.78205128205128,18.0,825.2610126582277,0.0,0.0,1,0.0
KIT-P0001,12.148760330578513,35.333333333333336,2737.739435483871,0.0,0.0,3,0.0
KIT-P0012,11.494949494949495,18.5,1682.6479207920793,0.0,0.0,2,0.0
HOM-P0029,12.464285714285714,22.0,523.9176991150443,0.0,0.0,1,0.0
HOM-P0031,10.738317757009346,28.0,497.7891666666667,0.0,0.0,1,0.0
HOM-P0022,11.683168316831683,37.5,1287.6121359223303,0.0,0.0,2,0.0
HOM-P0024,10.72,54.0,3011.486513157895,0.0,0.0,2,0.0
HOM-P0027,15.208955223880597,44.0,1884.9558518518518,0.0,0.0,1,0.0
GRO-P0037,15.007407407407408,19.666666666666668,272.04602836879434,0.0,0.0,6,0.0
HOM-P0002,15.604938271604938,47.0,2425.2496341463416,0.0,0.0,1,0.0
HOM-P0006,13.350877192982455,47.0,754.3358119658119,0.0,0.0,3,0.0
HOM-P0015,12.38341968911917,57.0,973.095206185567,0.0,0.0,1,0.0
HOM-P0016,14.58252427184466,23.666666666666668,437.1398113207547,0.0,0.0,3,0.0
GRO-P0028,16.36,75.0,497.2426984126984,0.0,0.0,1,0.0
GRO-P0024,18.478991596638654,88.0,458.6876666666667,0.0,0.0,1,0.0
GRO-P0031,16.81021897810219,23.75,450.8580141843972,0.0,0.0,4,0.0
GRO-P0035,11.71951219512195,38.0,125.62481927710844,0.0,0.0,1,0.0
GRO-P0038,14.392156862745098,40.2,507.9606962025317,0.0,0.0,5,0.0
FUR-P0023,12.168478260869565,23.0,15136.737634408602,0.0,0.0,1,0.0
FUR-P0034,10.192307692307692,31.5,5844.538018867925,0.0,0.0,2,0.0
SPO-P0001,11.493333333333334,18.0,1381.3132679738562,0.0,0.0,3,0.0
SPO-P0002,12.0,19.5,6638.759270833333,0.0,0.0,2,0.0
PET-P0005,13.115107913669064,18.5,1354.6081118881118,0.0,0.0,4,0.0
PET-P0004,13.415094339622641,34.5,669.23,0.0,0.0,4,0.0
PET-P0029,12.175438596491228,17.0,1590.6113913043478,0.0,0.0,1,0.0
PET-P0014,13.5125,14.5,1618.9641463414634,0.0,0.0,2,0.0
KIT-P0033,13.412280701754385,14.0,379.43897435897435,0.0,0.0,3,0.0
KIT-P0027,13.831858407079647,15.333333333333334,352.0544827586207,0.0,0.0,3,0.0
KIT-P0026,12.0,26.571428571428573,429.47758865248227,0.0,0.0,7,0.0
STA-P0001,15.696296296296296,27.0,707.6981617647059,0.0,0.0,1,0.0
SPO-P0033,13.802197802197803,29.0,1647.3447311827956,0.0,0.0,2,0.0
SPO-P0031,10.733333333333333,14.25,1367.6075,0.0,0.0,4,0.0
SPO-P0030,13.553030303030303,50.75,4896.974338235294,0.0,0.0,4,0.0
SPO-P0029,10.638095238095238,56.0,5435.092075471698,0.0,0.0,1,0.0
SPO-P0027,13.348148148148148,28.0,1201.9088235294118,0.0,0.0,1,0.0
SPO-P0019,13.883116883116884,44.25,1383.0280379746837,0.0,0.0,4,0.0
SPO-P0017,12.73228346456693,26.75,3760.017251908397,0.0,0.0,4,0.0
SPO-P0004,11.801724137931034,44.5,3712.119406779661,0.0,0.0,2,0.0
SPO-P0003,9.37037037037037,12.0,5742.134047619048,0.0,0.0,3,0.0
SPO-P0006,10.73015873015873,15.0,4062.8855118110237,0.0,0.0,1,0.0
SPO-P0015,13.986301369863014,31.0,4017.735466666667,0.0,0.0,2,0.0
PET-P0031,12.295652173913043,25.5,1584.2520512820513,0.0,0.0,2,0.0
PET-P0035,9.995575221238939,24.25,366.4823076923077,0.0,0.0,4,0.0
STA-P0022,12.855263157894736,42.0,586.1112337662338,0.0,0.0,2,0.0
STA-P0009,10.252525252525253,41.0,473.3473267326733,0.0,0.0,2,0.0
STA-P0035,10.040983606557377,15.0,286.46306451612907,0.0,0.0,2,0.0
STA-P0032,13.5359477124183,59.0,375.3948701298702,0.0,0.0,1,0.0
STA-P0028,14.91304347826087,31.1,326.12536082474224,0.0,0.0,10,0.0
STA-P0031,13.97972972972973,18.666666666666668,792.0031788079469,0.0,0.0,3,0.0
STA-P0026,15.198757763975156,57.0,104.8250909090909,0.0,0.0,4,0.0
TOY-P0014,12.30718954248366,86.0,89.12142857142858,0.0,0.0,1,0.0
TOY-P0003,12.0,24.0,288.3355384615385,0.0,0.0,1,0.0
TOY-P0011,12.535353535353535,52.0,143.05188118811884,0.0,0.0,2,0.0
TOY-P0024,10.5625,35.0,345.85989690721647,0.0,0.0,1,0.0
TOY-P0017,11.892857142857142,78.5,150.55605263157895,0.0,0.0,2,0.0
TOY-P0013,12.05,22.0,402.99358024691355,0.0,0.0,1,0.0
TOY-P0027,14.12280701754386,24.0,1365.5819827586206,0.0,0.0,2,0.0
TOY-P0031,12.503311258278146,15.0,784.866835443038,0.0,0.0,7,0.0
TOY-P0036,11.110344827586207,72.0,651.568698630137,0.0,0.0,1,0.0
TOY-P0039,14.820224719101123,44.0,447.87547486033515,0.0,0.0,1,0.0
TOY-P0040,12.696428571428571,22.0,897.9568047337278,0.0,0.0,1,0.0
