date,store_id,product_id,warehouse_id,supplier_id,units_sold,inventory_level,units_ordered,units_received,delivery_delay_days,stockout_flag,revenue,unit_price_txn,discount_pct,holiday_promo_flag,weather,season,festival_season_flag,back_to_school_flag,promo_type,customer_segment,returned_units,refund_amount,return_reason,product_name,category,unit_cost,unit_price,reorder_point,store_name,city,supplier_name,fill_rate,profit,profit_margin_pct,year,month,year_month,quarter,day_of_week,is_weekend
2021-01-01,S001,TOY-P0032,W01,SUP05,31.0,187.0,0,0,0.0,0,29829.75,962.25,0.0,0,Sunny,Winter,0,0,,Corporate,0,0.0,,Art Kit Mini,Toys,661.85,962.25,91,Pune Central Store,Pune,Bluewave Supplies,,9312.399999999998,31.22,2021,1,2021-01,1,Friday,False
2021-01-01,S003,BEA-P0029,W02,SUP14,13.0,89.0,0,0,0.0,0,10639.59,818.43,0.0,0,Sunny,Winter,0,0,,Retail,0,0.0,,Talcum Powder Classic,Beauty,537.17,818.43,46,Bengaluru Koramangala Store,Bengaluru,Everest Supply Co,,3656.380000000001,34.37,2021,1,2021-01,1,Friday,False
2021-01-01,S004,STA-P0007,W02,SUP10,9.0,166.0,0,0,0.0,0,6947.28,771.92,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Printer Paper Ream,Stationery,537.42,771.92,69,Chennai T Nagar Store,Chennai,Silverline Merchandise,,2110.5,30.38,2021,1,2021-01,1,Friday,False
2021-01-01,S004,TOY-P0027,W02,SUP02,2.0,128.0,0,0,0.0,0,2809.64,1404.82,0.0,0,Cloudy,Winter,0,0,,Online,0,0.0,,Remote Car Classic,Toys,736.79,1404.82,38,Chennai T Nagar Store,Chennai,Metro Wholesale Co.,,1336.06,47.55,2021,1,2021-01,1,Friday,False
2021-01-01,S005,TOY-P0038,W03,SUP09,10.0,236.0,0,0,0.0,0,6663.1,666.31,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Puzzle Set Mini,Toys,417.68,666.31,74,Delhi Connaught Place Store,Delhi,Golden Gate Imports,,2486.3,37.31,2021,1,2021-01,1,Friday,False
2021-01-01,S006,BEA-P0011,W02,SUP15,15.0,146.0,0,0,0.0,0,14064.0,937.6,0.0,0,Cold,Winter,0,0,,Corporate,0,0.0,,Face Wash Plus,Beauty,548.36,937.6,62,Hyderabad Central Plaza,Hyderabad,Falcon Distribution,,5838.6,41.51,2021,1,2021-01,1,Friday,False
2021-01-01,S006,FUR-P0036,W02,SUP18,6.0,106.0,0,0,0.0,0,125566.74,20927.79,0.0,0,Cold,Winter,0,0,,Retail,0,0.0,,Bed Frame Mini,Furniture,15152.14,20927.79,37,Hyderabad Central Plaza,Hyderabad,Zenith Commerce Ltd,,34653.90000000001,27.6,2021,1,2021-01,1,Friday,False
2021-01-01,S006,FUR-P0039,W02,SUP11,6.0,284.0,0,0,0.0,0,108440.46,18073.41,0.0,0,Cloudy,Winter,0,0,,Retail,0,0.0,,Coffee Table Mini,Furniture,9693.21,18073.41,88,Hyderabad Central Plaza,Hyderabad,Orbit Sourcing Ltd,,50281.20000000001,46.37,2021,1,2021-01,1,Friday,False
2021-01-01,S007,ELE-P0012,W04,SUP04,16.0,172.0,0,0,0.0,0,4176.16,261.01,0.0,0,Cold,Winter,0,0,,Wholesale,0,0.0,,Phone Stand,Electronics,155.53,261.01,59,Kolkata MG Road Store,Kolkata,Apex Trading Corp,,1687.6799999999998,40.41,2021,1,2021-01,1,Friday,False
2021-01-01,S007,ELE-P0028,W04,SUP05,18.0,57.0,0,0,0.0,0,397680.84,22093.38,0.0,0,Cloudy,Winter,0,0,,Corporate,0,0.0,,Electric Kettle Plus,Electronics,14049.37,22093.38,32,Kolkata MG Road Store,Kolkata,Bluewave Supplies,,144792.18000000002,36.41,2021,1,2021-01,1,Friday,False
