date,store_id,product_id,warehouse_id,supplier_id,units_sold,inventory_level,units_ordered,units_received,delivery_delay_days,stockout_flag,revenue,unit_price_txn,discount_pct,holiday_promo_flag,weather,season,product_name,category,unit_cost,unit_price,reorder_point,store_name,city,supplier_name,fill_rate,profit
2023-10-23,S004,TOY-P0016,W02,SUP06,119.0,319.0,109,100,2.0,0,6145.87,60.76,15,0,Sunny,Spring,Toy Drone,Toys,67.24,102.49,60,Chennai T Nagar Store,Chennai,Nationwide Traders,0.9174311926605505,-1855.6899999999996
2023-10-04,S005,CLO-P0003,W03,SUP06,98.0,131.0,20,19,5.0,0,2029.19,24.36,15,1,Snowy,Spring,Formal Shirt,Clothing,325.12,447.65,78,Delhi Connaught Place Store,Delhi,Nationwide Traders,0.95,-29832.570000000003
2023-11-18,S002,FUR-P0018,W01,SUP02,186.0,381.0,64,56,4.0,0,1903.52,12.04,15,0,Snowy,Summer,Recliner Chair,Furniture,139.59,259.86,65,Mumbai Andheri Store,Mumbai,Metro Wholesale Co.,0.875,-24060.22
2023-12-05,S004,CLO-P0018,W02,SUP06,288.0,327.0,134,119,6.0,0,6960.38,25.44,5,1,Sunny,Summer,Cargo Pants,Clothing,325.42,552.86,40,Chennai T Nagar Store,Chennai,Nationwide Traders,0.8880597014925373,-86760.58
2023-12-08,S002,GRO-P0004,W01,SUP03,211.0,266.0,125,120,7.0,0,17170.55,85.66,5,0,Snowy,Winter,Green Tea Pack,Groceries,377.88,545.88,53,Mumbai Andheri Store,Mumbai,Prime Vendors Ltd,0.96,-62562.12999999999
2023-12-22,S003,CLO-P0013,W02,SUP05,60.0,425.0,50,47,3.0,0,826.2,13.77,0,1,Sunny,Spring,Rain Jacket,Clothing,216.5,310.93,46,Bengaluru Koramangala Store,Bengaluru,Bluewave Supplies,0.94,-12163.8
2023-12-23,S005,ELE-P0017,W03,SUP04,224.0,428.0,43,38,3.0,0,10482.53,49.26,5,0,Snowy,Summer,Bluetooth Adapter,Electronics,365.91,575.75,44,Delhi Connaught Place Store,Delhi,Apex Trading Corp,0.8837209302325582,-71481.31000000001
2023-12-30,S002,FUR-P0005,W01,SUP02,73.0,161.0,154,143,7.0,0,4266.7,73.06,20,1,Sunny,Summer,Folding Chair,Furniture,171.4,283.59,69,Mumbai Andheri Store,Mumbai,Metro Wholesale Co.,0.9285714285714286,-8245.5
2023-11-06,S004,ELE-P0011,W02,SUP07,366.0,392.0,135,125,0.0,0,8539.51,24.56,5,0,Snowy,Spring,Wireless Keyboard,Electronics,293.71,460.45,47,Chennai T Nagar Store,Chennai,Horizon Goods Pvt Ltd,0.9259259259259259,-98958.34999999999
2023-12-17,S005,CLO-P0017,W03,SUP03,142.0,168.0,139,139,7.0,0,2586.67,22.77,20,0,Sunny,Autumn,Denim Jacket,Clothing,98.91,140.45,74,Delhi Connaught Place Store,Delhi,Prime Vendors Ltd,1.0,-11458.55
2023-12-22,S004,GRO-P0015,W02,SUP03,142.0,173.0,81,69,1.0,0,10412.86,73.33,0,0,Sunny,Winter,Ketchup 500ml,Groceries,384.47,565.89,73,Chennai T Nagar Store,Chennai,Prime Vendors Ltd,0.8518518518518519,-44181.880000000005
2023-11-26,S003,FUR-P0003,W02,SUP08,51.0,116.0,49,45,1.0,0,738.53,16.09,10,1,Snowy,Winter,Bookshelf 5-Tier,Furniture,100.58,136.99,56,Bengaluru Koramangala Store,Bengaluru,Summit Supply Chain,0.9183673469387755,-4391.05
2023-10-05,S004,ELE-P0002,W02,SUP04,117.0,385.0,125,123,2.0,0,5944.3,53.48,5,0,Rainy,Winter,Bluetooth Speaker,Electronics,272.15,444.19,78,Chennai T Nagar Store,Chennai,Apex Trading Corp,0.984,-25897.249999999996
2023-10-30,S003,CLO-P0017,W02,SUP03,37.0,470.0,81,73,1.0,0,761.31,25.72,20,0,Cloudy,Winter,Denim Jacket,Clothing,98.91,140.45,74,Bengaluru Koramangala Store,Bengaluru,Prime Vendors Ltd,0.9012345679012346,-2898.36
2023-10-14,S002,ELE-P0019,W01,SUP07,52.0,215.0,126,125,5.0,0,2873.52,55.26,0,0,Rainy,Summer,Screen Protector,Electronics,349.81,613.96,48,Mumbai Andheri Store,Mumbai,Horizon Goods Pvt Ltd,0.9920634920634921,-15316.599999999999
2023-12-04,S001,ELE-P0008,W01,SUP04,88.0,116.0,68,61,5.0,0,935.35,11.81,10,0,Sunny,Summer,Smart Watch Band,Electronics,334.91,468.94,60,Pune Central Store,Pune,Apex Trading Corp,0.8970588235294118,-28536.730000000003
2023-11-24,S001,ELE-P0005,W01,SUP07,12.0,109.0,132,116,0.0,0,642.8,63.02,15,1,Rainy,Autumn,Power Bank 10000mAh,Electronics,131.88,176.06,82,Pune Central Store,Pune,Horizon Goods Pvt Ltd,0.8787878787878788,-939.76
2023-11-12,S005,GRO-P0010,W03,SUP01,166.0,341.0,103,95,7.0,0,7973.48,53.37,10,1,Cloudy,Summer,Peanut Butter 400g,Groceries,92.64,148.58,73,Delhi Connaught Place Store,Delhi,Sunrise Distributors,0.9223300970873787,-7404.76
2023-11-04,S005,FUR-P0019,W03,SUP08,28.0,326.0,193,187,6.0,0,493.16,19.57,10,1,Cloudy,Summer,Console Table,Furniture,65.72,102.59,48,Delhi Connaught Place Store,Delhi,Summit Supply Chain,0.9689119170984456,-1346.9999999999998
2023-10-13,S002,GRO-P0020,W01,SUP03,117.0,161.0,156,145,5.0,0,3464.84,34.84,15,0,Sunny,Spring,Instant Noodles Pack,Groceries,56.24,76.79,79,Mumbai Andheri Store,Mumbai,Prime Vendors Ltd,0.9294871794871795,-3115.24
2023-11-21,S001,GRO-P0001,W01,SUP05,113.0,304.0,91,91,2.0,0,771.66,43.23,15,1,Snowy,Spring,Basmati Rice 5kg,Groceries,362.71,584.44,84,Pune Central Store,Pune,Bluewave Supplies,1.0,-40214.56999999999
2023-10-18,S005,ELE-P0009,W03,SUP04,155.0,432.0,157,154,1.0,0,5121.36,34.78,5,1,Snowy,Summer,USB Hub,Electronics,81.52,141.31,41,Delhi Connaught Place Store,Delhi,Apex Trading Corp,0.9808917197452229,-7514.239999999999
2023-11-03,S003,ELE-P0007,W02,SUP04,79.0,223.0,54,49,7.0,0,1212.81,16.16,5,0,Snowy,Winter,HDMI Cable,Electronics,324.36,550.95,67,Bengaluru Koramangala Store,Bengaluru,Apex Trading Corp,0.9074074074074074,-24411.63
2023-10-08,S005,GRO-P0002,W03,SUP03,179.0,184.0,72,64,5.0,0,10441.07,58.33,0,1,Cloudy,Summer,Sunflower Oil 1L,Groceries,320.2,543.38,55,Delhi Connaught Place Store,Delhi,Prime Vendors Ltd,0.8888888888888888,-46874.729999999996
2023-11-12,S005,TOY-P0019,W03,SUP06,15.0,152.0,93,84,6.0,0,1494.15,99.61,0,1,Cloudy,Spring,Toy Robot,Toys,365.93,690.78,82,Delhi Connaught Place Store,Delhi,Nationwide Traders,0.9032258064516129,-3994.7999999999997
2023-11-18,S003,ELE-P0019,W02,SUP07,74.0,75.0,96,89,0.0,0,6718.46,90.79,0,1,Sunny,Winter,Screen Protector,Electronics,349.81,613.96,48,Bengaluru Koramangala Store,Bengaluru,Horizon Goods Pvt Ltd,0.9270833333333334,-19167.48
2023-12-06,S005,CLO-P0011,W03,SUP06,21.0,91.0,76,74,3.0,0,568.88,31.87,15,1,Snowy,Winter,Sports Jersey,Clothing,388.63,581.19,77,Delhi Connaught Place Store,Delhi,Nationwide Traders,0.9736842105263158,-7592.349999999999
2023-10-30,S004,GRO-P0016,W02,SUP05,283.0,414.0,150,131,6.0,0,17697.26,73.57,15,0,Rainy,Spring,Biscuits Pack,Groceries,58.7,95.86,86,Chennai T Nagar Store,Chennai,Bluewave Supplies,0.8733333333333333,1085.1599999999962
2023-11-24,S005,FUR-P0018,W03,SUP02,50.0,378.0,143,131,0.0,0,3706.4,92.66,20,0,Cloudy,Summer,Recliner Chair,Furniture,139.59,259.86,65,Delhi Connaught Place Store,Delhi,Metro Wholesale Co.,0.916083916083916,-3273.1
2023-11-30,S002,GRO-P0008,W01,SUP01,110.0,294.0,36,34,5.0,0,2407.68,23.04,5,1,Sunny,Spring,Brown Bread,Groceries,225.26,312.29,88,Mumbai Andheri Store,Mumbai,Sunrise Distributors,0.9444444444444444,-22370.92
2023-10-31,S003,FUR-P0015,W02,SUP02,155.0,299.0,35,31,6.0,0,1649.2,11.2,5,1,Snowy,Autumn,Wardrobe 2-Door,Furniture,63.09,103.02,51,Bengaluru Koramangala Store,Bengaluru,Metro Wholesale Co.,0.8857142857142857,-8129.750000000001
2023-12-20,S004,TOY-P0006,W02,SUP06,168.0,202.0,23,20,3.0,0,3211.49,21.24,10,0,Sunny,Winter,Board Game,Toys,335.8,457.75,77,Chennai T Nagar Store,Chennai,Nationwide Traders,0.8695652173913043,-53202.91
2023-10-08,S003,FUR-P0005,W02,SUP02,36.0,198.0,153,135,0.0,0,851.15,26.27,10,0,Snowy,Winter,Folding Chair,Furniture,171.4,283.59,69,Bengaluru Koramangala Store,Bengaluru,Metro Wholesale Co.,0.8823529411764706,-5319.250000000001
2023-12-21,S003,CLO-P0019,W02,SUP05,80.0,252.0,45,43,7.0,0,1768.32,27.63,20,0,Snowy,Autumn,Polo T-Shirt,Clothing,323.26,509.25,75,Bengaluru Koramangala Store,Bengaluru,Bluewave Supplies,0.9555555555555556,-24092.48
2023-10-16,S002,CLO-P0006,W01,SUP05,196.0,384.0,24,22,6.0,0,3520.16,22.45,20,1,Rainy,Spring,Track Pants,Clothing,244.1,326.68,51,Mumbai Andheri Store,Mumbai,Bluewave Supplies,0.9166666666666666,-44323.44
2023-10-15,S001,TOY-P0004,W01,SUP06,12.0,195.0,116,112,2.0,0,1068.55,98.94,10,0,Rainy,Spring,Action Figure,Toys,278.18,506.43,61,Pune Central Store,Pune,Nationwide Traders,0.9655172413793104,-2269.6099999999997
2023-11-24,S004,FUR-P0020,W02,SUP02,330.0,378.0,20,18,6.0,0,25227.34,80.47,5,1,Cloudy,Winter,Cushion Stool,Furniture,362.09,633.36,89,Chennai T Nagar Store,Chennai,Metro Wholesale Co.,0.9,-94262.36
2023-12-09,S001,CLO-P0015,W01,SUP05,96.0,449.0,171,153,0.0,0,3694.08,38.48,0,1,Snowy,Autumn,Night Suit,Clothing,159.33,286.69,75,Pune Central Store,Pune,Bluewave Supplies,0.8947368421052632,-11601.6
2023-10-07,S001,FUR-P0008,W01,SUP02,108.0,156.0,97,89,3.0,0,8199.81,88.17,0,0,Sunny,Winter,Coat Rack,Furniture,378.24,621.46,64,Pune Central Store,Pune,Metro Wholesale Co.,0.9175257731958762,-32650.11
2023-12-25,S005,ELE-P0015,W03,SUP04,186.0,265.0,57,56,7.0,0,3685.96,20.86,5,1,Cloudy,Summer,LED Strip Lights,Electronics,389.21,687.83,53,Delhi Connaught Place Store,Delhi,Apex Trading Corp,0.9824561403508771,-68707.09999999999
2023-11-15,S004,FUR-P0009,W02,SUP02,128.0,399.0,75,70,5.0,0,5227.78,45.38,10,1,Rainy,Autumn,Wall Shelf Set,Furniture,143.44,215.01,63,Chennai T Nagar Store,Chennai,Metro Wholesale Co.,0.9333333333333333,-13132.54
2023-12-05,S002,TOY-P0006,W01,SUP06,101.0,206.0,100,99,4.0,0,3297.65,32.65,0,1,Cloudy,Summer,Board Game,Toys,335.8,457.75,77,Mumbai Andheri Store,Mumbai,Nationwide Traders,0.99,-30618.15
2023-12-14,S002,FUR-P0010,W01,SUP02,15.0,353.0,144,136,2.0,0,528.62,41.46,15,1,Snowy,Summer,Bean Bag,Furniture,203.62,267.35,66,Mumbai Andheri Store,Mumbai,Metro Wholesale Co.,0.9444444444444444,-2525.6800000000003
